SK_ID_CURR;PAYMENT_RATE;EXT_SOURCE_1;EXT_SOURCE_3;EXT_SOURCE_2;DAYS_BIRTH;AMT_ANNUITY;DAYS_EMPLOYED;INSTAL_DAYS_ENTRY_PAYMENT_MAX;DAYS_ID_PUBLISH;ACTIVE_DAYS_CREDIT_MAX;DAYS_EMPLOYED_PERC;APPROVED_CNT_PAYMENT_MEAN;ANNUITY_INCOME_PERC;INSTAL_AMT_PAYMENT_MIN;DAYS_REGISTRATION;INSTAL_DPD_MEAN;ACTIVE_DAYS_CREDIT_ENDDATE_MIN;PREV_CNT_PAYMENT_MEAN;AMT_CREDIT;AMT_GOODS_PRICE;INSTAL_DAYS_ENTRY_PAYMENT_MEAN;CLOSED_DAYS_CREDIT_MAX;BURO_AMT_CREDIT_MAX_OVERDUE_MEAN;APPROVED_DAYS_DECISION_MAX;REGION_POPULATION_RELATIVE;POS_MONTHS_BALANCE_SIZE;INSTAL_DBD_SUM;DAYS_LAST_PHONE_CHANGE;OWN_CAR_AGE
335985;0.071521981079577;0.7081398359732239;0.6212263380626669;0.6681319652478911;-18505;23134.5;-2471.0;-76.0;-2035;-425.4276400583754;0.1335314779789246;12.0;0.20564;9631.845;-2002.0;0.0;997.4778236986659;12.0;323460.0;270000.0;-270.1666666666667;-470.0;0.0;-183.0;0.030755;14.0;354.0;-470.0;4.0
251616;0.0796564195298372;0.2220135524186205;0.5209728023906156;0.1311140037280327;-9831;15858.0;-1872.0;-31.0;-1950;-425.4276400583754;0.1904180653036313;4.0;0.2349333333333333;14.4;-1599.0;1.0833333333333333;997.4778236986659;18.666666666666668;199080.0;157500.0;-447.8541666666667;-912.3653009316727;5024.80580785629;-664.0;0.018029;9.0;116.0;0.0;11.935569667230217
379713;0.0792070454622734;0.3410316344119445;0.4561097392782771;0.5957178604207176;-8356;52411.5;-1686.0;-586.0;-917;-384.0;0.2017711823839157;9.5;0.2773095238095238;5896.485;-7169.0;0.0714285714285714;712.0;9.5;661702.5;598500.0;-683.1428571428571;-635.0;0.0;-665.0;0.032561;21.0;193.0;0.0;1.0
218833;0.0483384164455182;0.3959800605702372;0.4686596550493113;0.6458637472796828;-10586;27459.0;-1705.0;-179.0;-3250;-177.0;0.1610617797090497;11.333333333333334;0.2034;3430.575;-819.0;0.0;100.0;11.333333333333334;568057.5;459000.0;-480.7142857142857;-912.3653009316727;5024.80580785629;-490.0;0.01885;32.0;377.0;-814.0;11.935569667230217
384116;0.0293503937007874;0.5114609611727022;0.5046813193144684;0.4006046404048297;-20319;33547.5;-4800.0;-17.0;-3266;-508.0;0.2362320980363207;14.8;0.1775;5922.315;-2690.0;0.0;-142.0;14.8;1143000.0;1143000.0;-1056.7368421052631;-364.0;1890.0;-547.0;0.028663;58.0;1258.0;-547.0;7.0
375768;0.0293894736842105;0.5114609611727022;0.5691487713619409;0.26493256281982;-22042;25128.0;-2438.111433881319;-347.0;-5124;-80.0;0.15965404809605363;9.666666666666666;0.1015272727272727;878.985;-14692.0;0.0588235294117647;-208.0;10.857142857142858;855000.0;855000.0;-734.8529411764706;-10.0;5024.80580785629;-368.0;0.025164;37.0;777.0;-1925.0;11.935569667230217
364534;0.05454;0.0944726042525849;0.4311917977993083;0.2241973670267266;-9108;24543.0;-2386.0;-759.0;-1768;-76.0;0.2619675010979359;4.0;0.1435263157894737;13419.495;-3253.0;0.0;213.0;6.0;450000.0;450000.0;-1065.142857142857;-615.0;0.0;-869.0;0.019101;10.0;129.0;-1316.0;21.0
438886;0.1076923076923077;0.2938693566282292;0.5902333386185574;0.279970806647636;-8877;25830.0;-182.0;-37.0;-816;-524.0;0.0205024219894108;11.0;0.2296;5242.14;-3100.0;0.0;1303.0;11.0;239850.0;225000.0;-562.0833333333334;-427.0;5024.80580785629;-63.0;0.030755;15.0;139.0;0.0;29.0
295393;0.037246283128636;0.553490742085788;0.7764098512142026;0.7155850990118452;-20714;25929.0;-4150.0;-1449.0;-3393;-425.4276400583754;0.2003475910012551;12.0;0.3854180602006689;5123.025;-5804.0;0.0;997.4778236986659;12.0;696150.0;562500.0;-1615.6363636363635;-1345.0;0.0;-1779.0;0.035792;13.0;260.0;-1779.0;7.0
148686;0.0292361809045226;0.1366040155401502;0.4400578303966329;0.3611123340676856;-15168;26181.0;-200.0;-143.0;-4878;-150.0;0.0131856540084388;26.0;0.11636;2247.975;-5109.0;0.0;-1997.0;26.0;895500.0;895500.0;-637.063829787234;-219.0;49.5;-550.0;0.0088659999999999;50.0;1518.0;-1307.0;11.935569667230217
